author_id,author_followers
1258457287120818182,1326
2496356957,1436
1309123451433746437,6455
177685467,1880
1438481501327400964,966
554086763,1191
2887810797,9161
3513096677,1758
3223787193,2945
393471260,3799
1008704033383763969,845
1213172442882957317,352
958319358236864512,7440
1325161744155639815,282
208124658,3529
67569835,3039
428929225,10235
301539607,446
149012357,616
1496480953312677896,212
3096580349,2663
162324830,360
568956040,1421
2498018371,5238
35718388,8442
156763778,6207
2465056030,1574
67265052,638
510356816,1600
149249078,1406
79261589,8397
57059494,2023
2511884348,747
1259825713215090688,120
599135961,8855
1179030075729051648,1509
78237051,2845
429255329,760
1047186184433221632,86505
1571392668306898947,19
68459188,480
1315628508706676737,181
242679562,1176
636362165,6270
1353282393243848705,2219
945706298099879936,51
228486749,363
397323298,16
351387334,128
529049759,10562
3422386179,640
2969765919,25216
218551666,10624
633099604,1500
289446153,3252
733701567451385857,10479
395362783,625
937275392213377024,3667
1260092785316765696,24218
359311754,26538
226094291,2534
1037597857765896192,2889
1272544354964508674,482
946353358012641281,9901
926950492894351361,75
4124565562,3054
2184854249,716
754349408058241024,1154
888883382,62787
291664523,45
2535736134,5174
1382169150,370
2754021704,1462
907311042501529602,1262
103189549,298
1386550512426835968,802
1480565119,6141
343576941,5283
1498318920696188934,1654
125581977,232
167700205,1539
2850344184,3963
1420248766423126017,5410
365191201,3059
2711162536,344
1340012552,24419
1536941627645874178,65
854728513659777024,380
1555128385998823424,1
112712202,9297
1554496567465443328,115
1538191944643489793,12
1138403998661251072,873
1046421019613974530,35525
266149775,25745
2900640789,756
826839262515625984,702
2608583728,616
892879416,2188
47377969,393
343624915,137
1252903565678522369,2164
2271523552,284
72256657,458
1276947139,170
117104253,676
1341114590021742598,705
2973215913,1234
286381723,7194
1004473881179164674,294
622828779,420
299732069,45588
110406285,28131
463713554,2056
1029339678753927168,5848
196588585,9875
2512404560,2879
215382997,2432
739805247284084737,1807
2991797747,244
1505578147718303745,264
54179787,2009
3248389444,14776
738100133326401536,27866
1409167953589833732,26579
1040992274,1757
1114315290,7457
213170220,49107
1148532307,3162
243179359,68444
1539155427488894976,38
17248150,14051
240546747,12475
1147027546497835011,2758
1037953356889763840,5421
239811631,3566
144401456,7129
413793336,1232
456153490,101
82461374,3286
1348803752,2530
1429107901239541764,1330
953034901099630594,1957
536358101,317
1501643322858913792,78
552466388,3105
475657296,217799
1248599086208614400,20
1387659116005449728,1388
1318485159797284864,28
1414584971457597446,652
3401268261,1009
264280259,2398
2908058969,768
146801158,5841
2170458966,2001
1654899848,449
1568316841289736193,107
3759806242,601
1050532171717496832,8407
2477931593,194
106715604,1419
793921783,36139
1516720049360412672,648
157425604,14315
370601116,5303
433383654,7282
2502098174,2249
275959966,35753
1529732626080309250,46
302461428,253
2704253657,110
4029570705,4411
1389461024152203264,165
1346131153,1674
953603293527277568,14
1476233104847261696,309
2822285961,1230
1017045852945252352,1378
20515267,718
1346217094111776770,150
2719852379,9679
57374087,4810
1352161990203109381,570
711886279894560768,912
1026588919025020928,105
3314843111,2455
480204260,7559
3182089060,2306
704636334388977665,26877
4850775310,14765
1354824931368820739,12894
1269645840685191168,12835
1537383774601850880,17
1128408185440743424,528
1238859912660344838,492
877480623249776640,15754
2772069148,6561
460096803,14117
616886368,126
1465628857088815104,6
83598084,6515
1499674514921295873,3522
1092812352150556672,3834
1354120292151529475,307
281201990,940
1503754794556665868,99
2440176328,777
381716531,458
499733885,4485
1478102530517262336,918
9884362,424
1445829524302802946,47
106207881,1328
1133664412416565248,193
1421364065146916865,112
427584100,582
853830004764966912,7323
1406910725033975810,2126
393206684,1795
71514814,5014
278894544,1134
3348754023,611
1192873349162123271,2238
859559718855094272,322
229915031,504
2295215452,28873
31106780,6252
1375016516354195456,106
33656330,6389
804973852694560768,1440
1204131048742903811,1331
4818247342,58
1434412849569406979,51
23418936,645
1258080570418003970,837
3382883841,5408
1620900229,3601
363257248,1928
459109361,1621
1133698782036676608,2240
1142684210144194560,980
1371696363646414848,1707
1013384284487475201,62
2787591064,6235
200478619,1681
1214868013641617408,13214
2737963881,2097
2429157239,248
4180647454,45
1482407444584222725,6
1515581053083303936,416
86061308,1451
183594399,34788
94287060,1274
1491842877114265615,10093
505732754,565
2736632818,28810
179909284,19177
1466723342749249541,130
598357969,27666
949261807969021952,557
4340392636,767
2248196980,479
1146113817065267203,24
973648078938001409,4714
1288706539205926912,1859
517308737,6697
1070493366,13426
2829455260,4008
799968543404097536,2713
