place_id,place_name,coords,geometry
{'place_id': '9d7cae88ff6a29f5'},"Durban, South Africa","[30.8789097, -30.055938, 31.0662492, -29.7453336]",POINT (30.97257945 -29.9006358)
{'place_id': '46c1b1ab24d7e11a'},"Midrand, South Africa","[28.0140761, -26.0572574, 28.1930256, -25.9195514]",POINT (28.10355085 -25.9884044)
{'place_id': 'e564d30dc173d2a8'},"Johannesburg, South Africa","[27.7518557, -26.5126489, 28.1843404, -26.0396281]",POINT (27.968098050000002 -26.276138500000002)
{'place_id': 'a02e6c261fa62b42'},"Benoni, South Africa","[28.2722463, -26.2315204, 28.4449594, -26.0681935]",POINT (28.358602849999997 -26.14985695)
{'place_id': 'cc95b56a28712044'},"Centurion, South Africa","[28.0010585, -25.9448996, 28.2712217, -25.7768617]",POINT (28.1361401 -25.860880649999995)
{'place_id': 'c257bb97f95ba4c8'},"East London, South Africa","[27.7630661, -33.1028619, 27.9520989, -32.941166]",POINT (27.8575825 -33.02201395)
{'place_id': '1894819f73285fec'},"Potchefstroom, South Africa","[26.9820423, -26.8014951, 27.1824627, -26.6394329]",POINT (27.0822525 -26.720464)
{'place_id': '32629028f602b03f'},"Katlehong, South Africa","[28.117831, -26.430327, 28.2127958, -26.2976734]",POINT (28.1653134 -26.3640002)
{'place_id': 'c884a1b7e3a91f5e'},"Umhlanga, South Africa","[31.0346564, -29.7608195, 31.0944587, -29.7082913]",POINT (31.06455755 -29.734555399999998)
{'place_id': '07d9f460b0c88002'},Loskop dam,"[29.38255550758277, -25.42356792332098, 29.38255550758277, -25.42356792332098]",POINT (29.38255550758277 -25.42356792332098)
{'place_id': 'f1b64d284eaca351'},"Khayelitsha, South Africa","[18.631212, -34.0755934, 18.7404412, -34.0037497]",POINT (18.6858266 -34.03967155)
"{'place_id': '5ccdc4a6f900a93f', 'coordinates': {'type': 'Point', 'coordinates': [18.46479, -33.9168]}}","Milnerton, South Africa","[18.4350199, -33.9208993, 18.5572133, -33.7259229]",POINT (18.4961166 -33.8234111)
{'place_id': '178a87b8e2eaa375'},"Sandton, South Africa","[27.9829939, -26.1362658, 28.1382322, -25.9811502]",POINT (28.06061305 -26.058708)
{'place_id': '59efa64f5c8f5340'},"Grahamstown, South Africa","[26.4794772, -33.326355, 26.5600028, -33.270332]",POINT (26.519740000000002 -33.2983435)
{'place_id': '80d77440d7bd9308'},"Boksburg, South Africa","[28.1894483, -26.4014473, 28.308244, -26.128581]",POINT (28.248846149999995 -26.26501415)
{'place_id': '2c4b6b1d2b440fe2'},"Ladysmith, South Africa","[29.7321138, -28.6035214, 29.8437135, -28.5189085]",POINT (29.787913650000004 -28.56121495)
{'place_id': '0e587c59401d0a27'},"Pretoria, South Africa","[27.9483035, -25.9157727, 28.4198285, -25.5894376]",POINT (28.184066 -25.75260515)
{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa","[18.3180332, -34.35839, 18.6600898, -33.8849254]",POINT (18.4241 -33.9249)
{'place_id': 'd73e8f8ebdd03aff'},"Randburg, South Africa","[27.8925632, -26.1368652, 28.0223519, -25.9025742]",POINT (27.95745755 -26.0197197)
"{'place_id': '5ccdc4a6f900a93f', 'coordinates': {'type': 'Point', 'coordinates': [18.5131902, -33.80789255]}}","Milnerton, South Africa","[18.4350199, -33.9208993, 18.5572133, -33.7259229]",POINT (18.4961166 -33.8234111)
{'place_id': '3e7b74aed804d360'},"Hermanus, South Africa","[19.179036, -34.4380636, 19.3026716, -34.396046]",POINT (19.2408538 -34.4170548)
{'place_id': 'a52d60033b57c5c7'},"Alberton, South Africa","[28.05319, -26.3907475, 28.1504779, -26.2457648]",POINT (28.10183395 -26.31825615)
"{'place_id': 'e564d30dc173d2a8', 'coordinates': {'type': 'Point', 'coordinates': [28.048554, -26.198721]}}","Johannesburg, South Africa","[27.7518557, -26.5126489, 28.1843404, -26.0396281]",POINT (27.968098050000002 -26.276138500000002)
{'place_id': 'd33b7056446ed1c5'},"Meyerton, South Africa","[27.9457757, -26.6928233, 28.1011379, -26.5242697]",POINT (28.023456799999998 -26.608546500000003)
{'place_id': '150e1ec07e4e2fca'},"Mafikeng, South Africa","[25.4948307, -26.0043449, 25.8154987, -25.7422886]",POINT (25.6551647 -25.87331675)
{'place_id': '1744381d2805a216'},"Roodepoort, South Africa","[27.771294, -26.2656942, 27.9772907, -26.0197293]",POINT (27.87429235 -26.14271175)
{'place_id': '07d9cae4a1084002'},Addington Beach,"[31.044083798989448, -29.86479375981874, 31.044083798989448, -29.86479375981874]",POINT (31.044083798989448 -29.86479375981874)
{'place_id': 'fac0f37794c4db56'},"Klerksdorp, South Africa","[26.5449086, -26.9235497, 26.7417183, -26.7975464]",POINT (26.64331345 -26.860548050000002)
{'place_id': '98ae6f225ff3d8a8'},"Jeffreys Bay, South Africa","[24.869799, -34.1177813, 24.9345968, -34.0055565]",POINT (24.9021979 -34.0616689)
{'place_id': 'd0848b8367022de8'},"Polokwane, South Africa","[29.3915768, -23.9976483, 29.5624256, -23.8348207]",POINT (29.4770012 -23.9162345)
{'place_id': 'c2ea0273e25c75af'},"Cradock, South Africa","[25.5859863, -32.1826789, 25.6598324, -32.1271588]",POINT (25.62290935 -32.15491885)
