data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3;;;;;;;;;;;;;;;;;;;;
9508166,710,SAF17656,17656,28 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),EFF: Economic Freedom Fighters; ActionSA; ANC: African National Congress,6,,,0,60,Southern Africa,South Africa,Gauteng,West Rand,Mogale City,Krugersdorp,-26.0858,27.7752,1,Daily Sun (South Africa); EWN; Citizen (South Africa),National,On 28 September 2022, protesters gathered outside the Magistrate Court in Krugersdorp (Mogale City, West Rand, Gauteng), calling for justice for survivors during the hearing of fourteen men accused of gang rape at an abandoned village. EFF, ActionSA, and ANC joined the protest. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;
9508173,710,SAF17671,17671,28 September 2022,2022,1,Protests,Protest with intervention,Protesters (South Africa),Taxi Drivers (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Mpumalanga,Ehlanzeni,City of Mbombela,Mbombela,-25.4667,30.9667,2,SABC News; Laevelder Lowvelder; GardaWorld; Daily News (South Africa),Other-Subnational,On 28 September 2022, for the second day, taxi drivers blocked many roads with vehicles, trucks, and heaps of sand near Mbombela (City of Mbombela, Ehlanzeni, Mpumalanga) following a dispute between a local bus operator and taxi associations. Demonstrators demanded a 30% share and a reduction of operational hours from the bus operator. Police fired rubber bullets and tear gas to disperse the crowd. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;
9508297,710,SAF17661,17661,28 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Labour Group (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,Citizen (South Africa),National,On 28 September 2022, Vulindlela early childhood development centers (ECD) employees marched to the Department of Education offices in Pietermaritzburg (The Msunduzi, Umgungundlovu, KwaZulu-Natal), demanding payment of outstanding salaries. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508350,710,SAF17667,17667,28 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Free State,Thabo Mofutsanyane,Maluti a Phofung,Phuthaditjhaba,-28.5242,28.8158,1,GroundUp,National,On 28 September 2022, hundreds of students blocked (means unspecified) the entrances gates at the University of Free States Qwaqwa campus in Phuthaditjhaba (Maluti a Phofung, Thabo Mofutsanyane, Free State), demanding accommodations allowances to be paid directly to students, the extension of the application period for private accommodation, and payment of transport allowances. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508351,710,SAF17660,17660,28 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Labour Group (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,New Brighton,-33.8991,25.6034,1,Herald (South Africa),Subnational,On 28 September 2022, protesters gathered outside the Mendi Arts Center in New Brighton (Nelson Mandela Bay, Eastern Cape) against general workers contracts not being renewed. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508382,710,SAF17676,17676,28 September 2022,2022,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),5,Civilians (South Africa),,7,57,Southern Africa,South Africa,Free State,Thabo Mofutsanyane,Maluti a Phofung,Phuthaditjhaba,-28.5242,28.8158,1,News24 (South Africa),National,On 28 September 2022, a mob assaulted three theft suspects and torched their house at Paballong Village in Phuthaditjhaba (Maluti a Phofung, Thabo Mofutsanyane, Free State). One suspect died at the scene, the other died later in the hospital, and the third received treatment in the hospital. Police arrested seven people in connection with the crime. [size=no report],2,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508295,710,SAF17686,17686,27 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Imbali,-29.6545,30.3506,1,Citizen (South Africa),National,On 27 September 2022, for the second day, Sukuma Secondary School parents marched to Education Departments head office in Imbali (The Msunduzi, Umgungundlovu, KwaZulu-Natal) against the recent appointment of the school principal over allegations of lack of qualification. Protesters also demanded the findings of investigations regarding the schools finances. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508313,710,SAF17684,17684,27 September 2022,2022,1,Riots,Mob violence,Rioters (South Africa),,5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Daily News (South Africa),National,On 27 September 2022, overnight, Dalton residents barricaded roads with burning tires, fired gunshots at police, and looted a truck in Durban (eThekwini, KwaZulu-Natal) against power cuts. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508314,710,SAF17670,17670,27 September 2022,2022,1,Riots,Violent demonstration,Rioters (South Africa),Taxi Drivers (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Mpumalanga,Ehlanzeni,City of Mbombela,Mbombela,-25.4667,30.9667,2,Daily News (South Africa),National,On 27 September 2022, taxi drivers blocked (means unspecified) many roads near Mbombela (City of Mbombela, Ehlanzeni, Mpumalanga) following a dispute between a local bus operator and taxi associations. Demonstrators torched a bus and a heavy truck. Rioters headed to the government complex and attacked a police officer with a bottle, and police dispersed the crowd (means unspecified). Demonstrators demanded a 30% share and a reduction of operational hours from the bus operator. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508322,710,SAF17688,17688,27 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Northern Cape,Frances Baard,Sol Plaatje,Galeshewe,-28.7168,24.7409,1,Diamond Fields Advertiser,National,On 27 September 2022, community members protested outside the Galeshewe District Court in Galeshewe (Sol Plaatje, Frances Baard, Northern Cape), calling on courts to deny bail to a man accused of raping his daughter. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508380,710,SAF17675,17675,27 September 2022,2022,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),5,Civilians (South Africa),,7,57,Southern Africa,South Africa,Free State,Lejweleputswa,Matjhabeng,Thabong,-27.9587,26.8299,1,News24 (South Africa),National,On 27 September 2022, a mob assaulted a man accused of stealing chairs in Thabong (Matjhabeng, Lejweleputswa, Free State). The suspect was found lying on the ground, and police took him to the hospital. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508165,710,SAF17655,17655,26 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),COSATU: Congress of South African Trade Unions; Labour Group (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Midrand,-25.9895,28.1284,1,Sowetan (South Africa); Daily News (South Africa),National,On 26 September 2022, COSATU members held placards and booed the ANC national chairperson while addressing the COSATU national congress in Johannesburg - Midrand (City of Johannesburg, Gauteng). The group protested the proposed 3% wage increase for public servants. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;
9508169,710,SAF17663,17663,26 September 2022,2022,2,Protests,Peaceful protest,Protesters (South Africa),Operation Dudula,6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Alexandra,-26.1167,28.1,1,George Herald (South Africa); Citizen (South Africa),National,Around 26 September 2022 (as reported), Operation Dudula members shut down betting company SupaBets and Roots butchery in Johannesburg - Alexandra (City of Johannesburg, Gauteng), demanding their managements hire only South Africans. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;
9508299,710,SAF17681,17681,26 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Imbali,-29.6545,30.3506,1,Citizen (South Africa),National,On 26 September 2022, parents gathered outside Sukuma Secondary in Imbali (The Msunduzi, Umgungundlovu, KwaZulu-Natal) against the recent appointment of the school principal over allegations of lack of qualification. Protesters also demanded the findings of investigations regarding the schools finances. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508315,710,SAF17657,17657,26 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Fishermen (South Africa); Green Connection,6,,,0,60,Southern Africa,South Africa,Western Cape,West Coast,Saldanha Bay,Saldanha,-33.0276,17.9196,1,Daily News (South Africa),National,On 26 September 2022, about fifty fishers and community members staged a protest at Pepper Bay in Saldanha (Saldanha Bay, West Coast, Western Cape) against offshore oil and gas exploration activities set to start on the West Coast. Community members claimed they were not adequately consulted. Gree Connection joined the protest. [size=about 50],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;
9508316,710,SAF17666,17666,26 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Pinetown,-29.8207,30.8867,1,Daily News (South Africa),National,On 26 September 2022, Clermont High School students picketed outside the Magistrates Court in Pinetown (eThekwini, KwaZulu-Natal), calling on courts to deny bail to a teacher accused of raping a student. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508348,710,SAF17679,17679,26 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Free State,Lejweleputswa,Matjhabeng,Ventersburg,-28.0833,27.1333,1,GardaWorld,Other,On 26 September 2022, protesters blocked (means unspecified) the N1 in Ventersburg (Matjhabeng, Lejweleputswa, Free State) against a service delivery failure. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508370,710,SAF17669,17669,26 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Taxi Drivers (South Africa),6,Protesters (South Africa),,6,66,Southern Africa,South Africa,Mpumalanga,Ehlanzeni,City of Mbombela,Mbombela,-25.4667,30.9667,2,Laevelder Lowvelder,Subnational,On 26 September 2022, taxi drivers blocked (means unspecified) the R538 in the Masoyi area near Mbombela (City of Mbombela, Ehlanzeni, Mpumalanga), demanding the local bus operator halt operations. Community members held an opposing demonstration and blocked (means unspecified) roads to prevent taxi drivers from operating. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508381,710,SAF17680,17680,26 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Orlando,-26.2517,27.9262,1,News24 (South Africa),National,On 26 September 2022, Nomzamo informal settlement residents gathered outside the Orlando Magistrates Court in Johannesburg - Orlando (City of Johannesburg, Gauteng), demanding justice during the hearing of suspects accused of a mass shooting in the community. Protesters forced their way into the courtroom, and police attempted to contain the crowd. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508412,710,SAF17678,17678,25 September 2022,2022,2,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Northern Cape,Namakwa,Kamiesberg,Hondeklipbaai,-30.3177,17.2773,1,SABC News,National,Around 25 September 2022 (as reported), community members staged a protest in Hondeklipbaai (Kamiesberg, Namakwa, Northern Cape) against a project aimed to extract green hydrogen from the deep. Protesters questioned the environmental impact on the ocean because of this development. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508482,710,SAF17674,17674,25 September 2022,2022,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),5,Civilians (Lesotho),,7,57,Southern Africa,South Africa,Limpopo,Vhembe,Thulamela,Thohoyandou,-22.95,30.4833,1,Zoutnet,Subnational,On 25 September 2022, a mob assaulted a Lesotho national in Thohoyandou (Thulamela, Vhembe, Limpopo) after witnessing him trying to torch the house of his ex-girlfriend with her inside. Police rescued the suspect. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508168,710,SAF17662,17662,24 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),LGBT (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Soweto,-26.2667,27.8667,1,Times (South Africa); GroundUp,National,On 24 September 2022, hundreds of protesters marched to celebrate Pride in Johannesburg - Soweto (City of Johannesburg, Gauteng) and protested against hate crimes perpetrated against LGBT community members. [size=hundreds],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;
9508172,710,SAF17668,17668,24 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa); ACA: African Climate Alliance; Green Connection; Extinction Rebellion; 350.org,6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,GroundUp; Daily News (South Africa),National,On 24 September 2022, hundreds of protesters (including students) marched to Parliament in Cape Town (City of Cape Town, Western Cape), demanding a permanent Parliamentary Committee on the Climate Crisis, changes to the education curriculum to support climate education, and a commitment to end all fossil fuel electricity production by 2035. The demonstration was organized by African Climate Alliance and supported by the Green Connection, Extinction Rebellion Cape Town, and 350.org. [size=hundreds],0,1664832988,ZAF;;;;;;;;;;;;;;;
9499134,710,SAF17654,17654,23 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Kraaifontein,-33.8481,18.7172,1,EWN,National,On 23 September 2022, hundreds of protesters marched to the local police station in Cape Town - Kraaifontein (City of Cape Town, Western Cape), calling for more police deployment in townships. [size=hundreds],0,1664231916,ZAF;;;;;;;;;;;;;;;;;;;;
9508164,710,SAF17652,17652,23 September 2022,2022,1,Riots,Violent demonstration,Rioters (South Africa),,5,,,0,50,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Eldorado Park,-26.2891,27.8962,2,SABC News; EWN; GardaWorld,Other-National,On 23 September 2022, demonstrators barricaded the N12 with burning tires and debris near Johannesburg - Eldorado Park (City of Johannesburg, Gauteng) against gang-related violence. Community members camped outside the police station and demanded police action. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;
9508167,710,SAF17659,17659,23 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),Labour Group (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,Umzinyathi,Nqutu,Nquthu,-28.2191,30.6739,1,Daily Sun (South Africa); Daily News (South Africa),National,On 23 September 2022, social workers staged a protest outside the Nqutu District Court in Nquthu (Nqutu, Umzinyathi, KwaZulu-Natal), calling on courts to deny bail to a man accused of rape and sexual assault. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;
9508171,710,SAF17665,17665,23 September 2022,2022,1,Riots,Mob violence,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Pinetown,-29.8207,30.8867,1,Daily News (South Africa); SABC News,National,On 23 September 2022, for the second day, Dassenhoek High School students torched six classrooms and two departmental heads offices in Pinetown (eThekwini, KwaZulu-Natal) after police confiscated cellphones during a search for drugs and weapons. No injuries reported. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;
9508296,710,SAF17653,17653,23 September 2022,2022,1,Riots,Violent demonstration,Rioters (South Africa),,5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,Citizen (South Africa),National,On 23 September 2022, Jika Joe Informal settlement residents barricaded roads with burning tires and debris in Pietermaritzburg (The Msunduzi, Umgungundlovu, KwaZulu-Natal) against electricity shortage. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;;
9508170,710,SAF17664,17664,22 September 2022,2022,1,Riots,Mob violence,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Pinetown,-29.8207,30.8867,1,SABC News; Daily News (South Africa),National,On 22 September 2022, Dassenhoek High School students torched classrooms in Pinetown (eThekwini, KwaZulu-Natal) after police confiscated cellphones during a search for drugs and weapons. No injuries reported. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;;;;
9508174,710,SAF17677,17677,22 September 2022,2022,1,Protests,Peaceful protest,Protesters (South Africa),,6,,,0,60,Southern Africa,South Africa,North West,Ngaka Modiri Molema,Tswaing,North West,-26.5,26,3,Herald (South Africa); Daily News (South Africa); News24 (South Africa); Sowetan (South Africa); Times (South Africa),National,On 22 September 2022, community members staged service delivery protests in five locaties at North West province [location coded in North West (Tswaing, Ngaka Modiri Molema, North West)]. The demonstrations prevented students from taking the preparatory examinations. [size=no report],0,1664832988,ZAF;;;;;;;;;;;;;;;;
