,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5,9508350,710,SAF17667,17667,2022-09-28,2022,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Free State,Thabo Mofutsanyane,Maluti a Phofung,Phuthaditjhaba,-28.5242,28.8158,1,GroundUp,National,"On 28 September 2022, hundreds of students blocked (means unspecified) the entrances gates at the University of Free State's Qwaqwa campus in Phuthaditjhaba (Maluti a Phofung, Thabo Mofutsanyane, Free State), demanding accommodations allowances to be paid directly to students, the extension of the application period for private accommodation, and payment of transport allowances. [size=no report]",0,1664832988,ZAF
20,9508316,710,SAF17666,17666,2022-09-26,2022,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Pinetown,-29.8207,30.8867,1,Daily News (South Africa),National,"On 26 September 2022, Clermont High School students picketed outside the Magistrate's Court in Pinetown (eThekwini, KwaZulu-Natal), calling on courts to deny bail to a teacher accused of raping a student. [size=no report]",0,1664832988,ZAF
33,9508171,710,SAF17665,17665,2022-09-23,2022,1,Riots,Mob violence,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Pinetown,-29.8207,30.8867,1,Daily News (South Africa); SABC News,National,"On 23 September 2022, for the second day, Dassenhoek High School students torched six classrooms and two departmental heads' offices in Pinetown (eThekwini, KwaZulu-Natal) after police confiscated cellphones during a search for drugs and weapons. No injuries reported. [size=no report]",0,1664832988,ZAF
35,9508170,710,SAF17664,17664,2022-09-22,2022,1,Riots,Mob violence,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Pinetown,-29.8207,30.8867,1,SABC News; Daily News (South Africa),National,"On 22 September 2022, Dassenhoek High School students torched classrooms in Pinetown (eThekwini, KwaZulu-Natal) after police confiscated cellphones during a search for drugs and weapons. No injuries reported. [size=no report]",0,1664832988,ZAF
72,9489384,710,SAF17580,17580,2022-09-15,2022,1,Protests,Protest with intervention,Protesters (South Africa),Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Alexandra,-26.1167,28.1,1,Daily News (South Africa); Times (South Africa); Sowetan (South Africa),National,"On 15 September 2022, Realogile High School students held a demonstration in Johannesburg - Alexandra (City of Johannesburg, Gauteng), calling for security at the school after a student stabbed the deputy principal. Protesters marched to nearby schools and mobilized students to join the protest. Police dispersed (means unspecified) the crowd. [size=no report]",0,1663620420,ZAF
81,9489390,710,SAF17602,17602,2022-09-14,2022,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,Police Forces of South Africa (1994-),Private Security Forces (South Africa),1,15,Southern Africa,South Africa,Limpopo,Capricorn,Polokwane,Mankweng,-23.8838,29.7056,1,Daily News (South Africa); SABC News; Citizen (South Africa); Herald (South Africa); Polokwane Review; GardaWorld; Times (South Africa); News24 (South Africa); George Herald (South Africa),Other-Subnational,"On 14 September 2022, University of Limpopo students torched several buildings, damaged vehicles, and barricaded roads with burning tires and stones in Mankweng (Polokwane, Capricorn, Limpopo) against non-payment of accommodation allowances. Demonstrators clashed with the police and security guards. [size=no report]",0,1663620420,ZAF
94,9499149,710,SAF17622,17622,2022-09-13,2022,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,Summerstrand,-33.9918,25.6572,1,Herald (South Africa),Subnational,"On 13 September 2022, Nelson Mandela University students held a demonstration and prevented CampusKey staff from leaving the premises at a students' residence in Summerstrand (Nelson Mandela Bay, Eastern Cape) against recurring water shortage. No violent interactions reported. [size=no report]",0,1664231916,ZAF
114,9467264,710,SAF17407,17407,2022-09-08,2022,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,Citizen (South Africa),National,"On 8 September 2022, students shut down the Sobantu Secondary School and barricaded roads with burning tires in Pietermaritzburg (The Msunduzi, Umgungundlovu, KwaZulu-Natal), demanding water and electricity. [size=no report]",0,1663026145,ZAF
151,9466751,710,SAF17405,17405,2022-09-01,2022,1,Riots,Mob violence,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,KwaNgendezi,-29.8375,30.7778,1,Sowetan (South Africa); Daily Dispatch; Times (South Africa); George Herald (South Africa); Daily News (South Africa); News24 (South Africa); Citizen (South Africa),National,"On 1 September 2022, Ndengetho High School students torched several classrooms in KwaNgendezi (eThekwini, KwaZulu-Natal) after police confiscated about 400 phones during a search for drugs and weapons. No injuries reported. [size=no report]",0,1663026144,ZAF
234,9467337,710,SAF17499,17499,2022-08-22,2022,2,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria,-25.7449,28.1878,1,Daily News (South Africa),National,"Around 22 August 2022 (as reported), University of Pretoria students led by the Student Representative Council (SRC) blocked (means unspecified) the university entrance, disrupted campus activities, and tried to prevent buses from transporting students in Pretoria (City of Tshwane, Gauteng) in a demonstration against registration fee increases. The University administration temporarily suspended seven SRC members for disrupting the academic program. [size=no report]",0,1663026146,ZAF
