tweet_id,place_id
923338250261008386,{'place_id': 'e564d30dc173d2a8'}
923338197563854848,{'place_id': '557dd67203c6e04c'}
923338139451772929,{'place_id': '8b9ec16fdc0d7e55'}
923338012288782336,{'place_id': 'e564d30dc173d2a8'}
923338010984402944,{'place_id': '0e428116fe291283'}
923337976528162816,{'place_id': 'e564d30dc173d2a8'}
923337911629524992,"{'place_id': '178a87b8e2eaa375', 'coordinates': {'type': 'Point', 'coordinates': [28.0555547, -26.1068071]}}"
923337908215537664,{'place_id': '0e428116fe291283'}
923337850724212736,{'place_id': '8b9ec16fdc0d7e55'}
923337844151734272,{'place_id': '0e587c59401d0a27'}
923337832067985408,{'place_id': 'e564d30dc173d2a8'}
923337767404429315,{'place_id': '9d7cae88ff6a29f5'}
923337685422542850,{'place_id': '00d8d13a6f5fcedf'}
923337681714798593,{'place_id': '9cb62cf35dcf392d'}
923337638538555394,{'place_id': '1f68299f02be57d7'}
923337608847077376,{'place_id': '59efa64f5c8f5340'}
923337588752175104,{'place_id': '9cb62cf35dcf392d'}
923337550483243008,"{'place_id': 'd73e8f8ebdd03aff', 'coordinates': {'type': 'Point', 'coordinates': [28.0, -26.0]}}"
923337511400853504,{'place_id': '178a87b8e2eaa375'}
923337429842612224,{'place_id': '9e901522888f8e99'}
923337388411277312,{'place_id': '9d7cae88ff6a29f5'}
923337295436111873,{'place_id': '0e428116fe291283'}
923337125575225344,{'place_id': 'e564d30dc173d2a8'}
923336968364265473,"{'place_id': 'e564d30dc173d2a8', 'coordinates': {'type': 'Point', 'coordinates': [28.0666221, -26.0890915]}}"
923336926157000704,{'place_id': '62b0cb0005d01039'}
923336853973032965,{'place_id': '9d7cae88ff6a29f5'}
923336826693222400,{'place_id': '27b2c17b988dcc52'}
923336722343219200,{'place_id': 'e564d30dc173d2a8'}
923336685060001794,{'place_id': 'e564d30dc173d2a8'}
923336439076737024,{'place_id': 'e564d30dc173d2a8'}
923336237435490304,{'place_id': '9d7cae88ff6a29f5'}
923336023559557120,{'place_id': '5ccdc4a6f900a93f'}
923335972481363968,{'place_id': '0e587c59401d0a27'}
923335967162945537,{'place_id': 'e564d30dc173d2a8'}
923335833935138818,{'place_id': '9d7cae88ff6a29f5'}
923335639260717056,{'place_id': '0e428116fe291283'}
923335594389987329,{'place_id': '810e12ec4af983de'}
923335560105689088,{'place_id': 'd98aef293ae7311d'}
923335528342343683,{'place_id': '00d8d13a6f5fcedf'}
923335391570223114,{'place_id': '9d7cae88ff6a29f5'}
923335373400477697,{'place_id': '8b9ec16fdc0d7e55'}
923335339594444801,{'place_id': '5ccdc4a6f900a93f'}
923335165698551808,{'place_id': '9d7cae88ff6a29f5'}
923335131494010880,{'place_id': 'd73e8f8ebdd03aff'}
923335056239755265,{'place_id': 'e564d30dc173d2a8'}
923335023293497346,{'place_id': 'c257bb97f95ba4c8'}
923335014665871360,{'place_id': '1744381d2805a216'}
923334931333427200,{'place_id': '9d7cae88ff6a29f5'}
923334873695293440,{'place_id': 'f16913d3f6acb7f1'}
923334763892666368,{'place_id': '9d7cae88ff6a29f5'}
923334762835701762,{'place_id': 'e564d30dc173d2a8'}
923334714030804993,{'place_id': '0e587c59401d0a27'}
923334667343925254,{'place_id': '00d8d13a6f5fcedf'}
923334638373883904,{'place_id': 'e564d30dc173d2a8'}
923334626004865024,{'place_id': 'e564d30dc173d2a8'}
923334609483583488,{'place_id': 'e564d30dc173d2a8'}
923334550843023360,{'place_id': '8b9ec16fdc0d7e55'}
923334504730767360,{'place_id': '0e428116fe291283'}
923334444387364865,{'place_id': '62b0cb0005d01039'}
923334334190424064,{'place_id': '0e587c59401d0a27'}
923334005164072963,{'place_id': '9d7cae88ff6a29f5'}
923333917654085632,"{'place_id': 'e564d30dc173d2a8', 'coordinates': {'type': 'Point', 'coordinates': [28.03923, -26.19331]}}"
923333871667687424,{'place_id': '0e587c59401d0a27'}
923333852541718529,{'place_id': '8b9ec16fdc0d7e55'}
923333832924856321,{'place_id': '1465fdb4074020c2'}
923333828478988289,{'place_id': '178a87b8e2eaa375'}
923333826876792833,{'place_id': '8b9ec16fdc0d7e55'}
923333794337353728,{'place_id': '0e428116fe291283'}
923333750393630720,{'place_id': '824bcfd389683242'}
923333528137424896,{'place_id': 'f46102f64b68e431'}
923333514442842112,"{'place_id': '178a87b8e2eaa375', 'coordinates': {'type': 'Point', 'coordinates': [28.05356807, -26.10629612]}}"
923333489176600579,{'place_id': '178a87b8e2eaa375'}
923333429831323649,{'place_id': '9cb62cf35dcf392d'}
923333420494852098,{'place_id': '8b9ec16fdc0d7e55'}
923333414404739073,{'place_id': '9e901522888f8e99'}
923333369601101824,{'place_id': '74a72b4ef7894eb4'}
923333339687383040,{'place_id': '0e587c59401d0a27'}
923333295588433920,{'place_id': '0e428116fe291283'}
923333212042092545,{'place_id': '810e12ec4af983de'}
923333188696657921,{'place_id': '0e587c59401d0a27'}
923332913005060099,{'place_id': 'f46102f64b68e431'}
923332799570087936,{'place_id': '0e587c59401d0a27'}
923332711212830720,{'place_id': '824bcfd389683242'}
923332680736964608,{'place_id': '810e12ec4af983de'}
923332656456232960,{'place_id': 'e564d30dc173d2a8'}
923332612491567104,{'place_id': 'e564d30dc173d2a8'}
923332455515545600,{'place_id': '10a589c27fc19a4c'}
923332311894151168,{'place_id': 'e564d30dc173d2a8'}
923332300871479296,{'place_id': 'e564d30dc173d2a8'}
923332153907216387,{'place_id': '0e428116fe291283'}
923331994821554177,{'place_id': '824bcfd389683242'}
923331913351233536,{'place_id': '0e428116fe291283'}
923331861082005507,{'place_id': 'd73e8f8ebdd03aff'}
923331851946807296,{'place_id': '1465fdb4074020c2'}
923331814860771328,{'place_id': '0e428116fe291283'}
923331748708143109,{'place_id': '824bcfd389683242'}
923331657809133569,{'place_id': '0e587c59401d0a27'}
923331657586929665,{'place_id': '8b9ec16fdc0d7e55'}
923331633675202560,{'place_id': 'e564d30dc173d2a8'}
923331605535608834,{'place_id': 'd73e8f8ebdd03aff'}
923331540616171520,"{'place_id': '2e623eac9401669f', 'coordinates': {'type': 'Point', 'coordinates': [28.76666667, -31.56666667]}}"
923331451319472128,{'place_id': '9d7cae88ff6a29f5'}
923331351545294848,{'place_id': 'e564d30dc173d2a8'}
923331270356160513,{'place_id': '27b2c17b988dcc52'}
923331220834054144,{'place_id': '4e656aba611963ae'}
923331203591229440,"{'place_id': '8b9ec16fdc0d7e55', 'coordinates': {'type': 'Point', 'coordinates': [18.45423997, -33.93230988]}}"
923331104794447872,{'place_id': '3531e62c4c090352'}
923331077938216961,{'place_id': '8b9ec16fdc0d7e55'}
923331049177931776,{'place_id': '8b9ec16fdc0d7e55'}
923331029154353153,{'place_id': '8b9ec16fdc0d7e55'}
923331019050283009,{'place_id': '0e587c59401d0a27'}
923330977648214018,{'place_id': 'e564d30dc173d2a8'}
923330809800642560,{'place_id': '1d9b85f4cd86b224'}
923330780423708678,{'place_id': 'e564d30dc173d2a8'}
923330725990031360,{'place_id': '7fb9a91f3f78a035'}
923330712299819008,{'place_id': 'e564d30dc173d2a8'}
923330535874879490,{'place_id': '810e12ec4af983de'}
923330526735462406,{'place_id': '9cb62cf35dcf392d'}
923330456208191493,{'place_id': '557dd67203c6e04c'}
923330368173953027,{'place_id': '8b9ec16fdc0d7e55'}
923330318303719424,{'place_id': 'e564d30dc173d2a8'}
923330289815912449,{'place_id': '9d7cae88ff6a29f5'}
923330126481362944,{'place_id': '0e428116fe291283'}
923329942393323521,{'place_id': 'e564d30dc173d2a8'}
923329927826550784,{'place_id': 'e564d30dc173d2a8'}
923329897203945473,{'place_id': '178a87b8e2eaa375'}
923329890971213824,{'place_id': '178a87b8e2eaa375'}
923329785165643777,{'place_id': '8b9ec16fdc0d7e55'}
923329780992434176,{'place_id': 'e564d30dc173d2a8'}
923329759337238528,{'place_id': 'e564d30dc173d2a8'}
923329747022729216,{'place_id': '0e587c59401d0a27'}
923329739858829312,{'place_id': '178a87b8e2eaa375'}
923329702718312451,{'place_id': '0e587c59401d0a27'}
923329651426189312,{'place_id': 'd98aef293ae7311d'}
923329575874162688,{'place_id': '1465fdb4074020c2'}
923329506726875136,{'place_id': '178a87b8e2eaa375'}
923329495909785600,{'place_id': 'e564d30dc173d2a8'}
923329346579951616,{'place_id': '9d7cae88ff6a29f5'}
923329310844481537,{'place_id': '0e587c59401d0a27'}
923329294490898432,{'place_id': 'd73e8f8ebdd03aff'}
923329281123672064,{'place_id': 'e564d30dc173d2a8'}
923329266951049219,{'place_id': 'e564d30dc173d2a8'}
923329254644953088,{'place_id': '178a87b8e2eaa375'}
923329232419348481,{'place_id': '810e12ec4af983de'}
923329166094761984,{'place_id': 'a6de57f8441398d4'}
923329115721216000,{'place_id': '27b2c17b988dcc52'}
923329115645730816,{'place_id': '00d8d13a6f5fcedf'}
923329073732087810,{'place_id': 'fac0f37794c4db56'}
923329070905077760,{'place_id': '52e073e7724385c3'}
923329048302047232,{'place_id': '053839cde7a1ccac'}
923329044929761280,{'place_id': '8b9ec16fdc0d7e55'}
923329017016614912,{'place_id': '0e587c59401d0a27'}
923328952290152449,{'place_id': '52e073e7724385c3'}
923328948028760066,{'place_id': '27b2c17b988dcc52'}
923328841828978688,{'place_id': '8b9ec16fdc0d7e55'}
923328757322125313,{'place_id': '0e428116fe291283'}
923328689491857408,{'place_id': '8b9ec16fdc0d7e55'}
923328640091377664,{'place_id': '8b9ec16fdc0d7e55'}
923328510781022208,{'place_id': 'fac0f37794c4db56'}
923328468934414336,{'place_id': '0e587c59401d0a27'}
923328453453209600,{'place_id': '65246f89990cd015'}
923328333915525121,{'place_id': '65246f89990cd015'}
923328258929778690,{'place_id': '65246f89990cd015'}
923328226981765122,{'place_id': '9d7cae88ff6a29f5'}
923328212683362305,{'place_id': '8b9ec16fdc0d7e55'}
923328180550815746,{'place_id': '10a589c27fc19a4c'}
923328159323435012,{'place_id': '7efc470da463c9f0'}
923328146111377408,{'place_id': '65246f89990cd015'}
923328112166952965,{'place_id': '1744381d2805a216'}
923328094953529345,{'place_id': '65246f89990cd015'}
923328094705995776,{'place_id': 'e564d30dc173d2a8'}
923328059146756097,{'place_id': '9cb62cf35dcf392d'}
923328045657804801,{'place_id': '10a589c27fc19a4c'}
923328029492998144,{'place_id': '810e12ec4af983de'}
923327948509335552,{'place_id': '8b9ec16fdc0d7e55'}
923327885619871744,"{'place_id': 'f704de521fc59dd4', 'coordinates': {'type': 'Point', 'coordinates': [26.64762, -27.38201]}}"
923327860735168513,{'place_id': '9cb62cf35dcf392d'}
923327838534725633,{'place_id': '65246f89990cd015'}
923327830099939330,{'place_id': '053839cde7a1ccac'}
923327765562232832,{'place_id': '10a589c27fc19a4c'}
923327764693995520,{'place_id': '65246f89990cd015'}
923327752564035584,{'place_id': '0e587c59401d0a27'}
923327696146436097,{'place_id': '8b9ec16fdc0d7e55'}
923327657261101056,{'place_id': 'e564d30dc173d2a8'}
923327613627715584,{'place_id': '80d77440d7bd9308'}
923327564906729473,{'place_id': 'e564d30dc173d2a8'}
923327562755006464,{'place_id': '8b9ec16fdc0d7e55'}
923327559135322114,{'place_id': '10a589c27fc19a4c'}
923327548502704128,{'place_id': 'e564d30dc173d2a8'}
923327521407594496,{'place_id': '65246f89990cd015'}
923327401651732482,{'place_id': '59efa64f5c8f5340'}
923327380910952448,{'place_id': 'd73e8f8ebdd03aff'}
923327356001013761,{'place_id': '65246f89990cd015'}
923327320609492992,{'place_id': 'e564d30dc173d2a8'}
923327313760137218,{'place_id': '0e428116fe291283'}
923327207010955265,{'place_id': '65246f89990cd015'}
923327142691328001,{'place_id': '810e12ec4af983de'}
923327026022449157,{'place_id': '65246f89990cd015'}
923327000210796544,{'place_id': '9cb62cf35dcf392d'}
923326984771592192,{'place_id': '1465fdb4074020c2'}
923326984742109186,{'place_id': '65246f89990cd015'}
923326977465028608,{'place_id': 'e564d30dc173d2a8'}
923326908091305985,{'place_id': '0e587c59401d0a27'}
923326846284062720,{'place_id': '0e587c59401d0a27'}
923326819864072193,{'place_id': 'd73e8f8ebdd03aff'}
923326761970163712,{'place_id': '65246f89990cd015'}
923326712909369344,{'place_id': '0e587c59401d0a27'}
923326651198509058,{'place_id': '9e901522888f8e99'}
923326622417215488,{'place_id': 'f16913d3f6acb7f1'}
923326577135546368,{'place_id': 'd73e8f8ebdd03aff'}
923326534378811392,{'place_id': '9cb62cf35dcf392d'}
923326468008103937,{'place_id': '65246f89990cd015'}
923326410625822720,{'place_id': '9d7cae88ff6a29f5'}
923326373330128896,{'place_id': 'e564d30dc173d2a8'}
923326320892956672,{'place_id': 'e564d30dc173d2a8'}
923326304862244865,{'place_id': 'c257bb97f95ba4c8'}
923326273832800257,{'place_id': '65246f89990cd015'}
923326144094580741,{'place_id': '65246f89990cd015'}
923326137652187137,{'place_id': '0e587c59401d0a27'}
923326117045571584,{'place_id': 'e564d30dc173d2a8'}
923326087496720385,{'place_id': '9d7cae88ff6a29f5'}
923326008379564033,{'place_id': 'e564d30dc173d2a8'}
923325934601728002,{'place_id': 'ac4279f15e7ccf13'}
923325896781680641,{'place_id': 'e564d30dc173d2a8'}
923325895854739456,{'place_id': 'e564d30dc173d2a8'}
923325829534355457,{'place_id': 'e564d30dc173d2a8'}
923325785875931142,{'place_id': '65246f89990cd015'}
923325672973619200,{'place_id': 'e564d30dc173d2a8'}
923325655802146816,{'place_id': '65246f89990cd015'}
923325646306148354,{'place_id': '9d7cae88ff6a29f5'}
923325569722396674,{'place_id': '0e428116fe291283'}
923325551431049216,{'place_id': '65246f89990cd015'}
923325519785021440,{'place_id': '0e428116fe291283'}
923325484326416384,{'place_id': '10a589c27fc19a4c'}
923325437874507777,{'place_id': '65246f89990cd015'}
923325370958598144,{'place_id': '1465fdb4074020c2'}
923325352981737474,{'place_id': '65246f89990cd015'}
923325309948170241,{'place_id': '59efa64f5c8f5340'}
923325223478362112,{'place_id': '65246f89990cd015'}
923325206902517761,{'place_id': '8b9ec16fdc0d7e55'}
923325169602564096,{'place_id': 'e564d30dc173d2a8'}
923325145841840128,{'place_id': '0e428116fe291283'}
923325036068470785,{'place_id': '65246f89990cd015'}
923325017236045824,{'place_id': '9e901522888f8e99'}
923324995379621889,{'place_id': '9d7cae88ff6a29f5'}
923324932414738432,{'place_id': '65246f89990cd015'}
923324865922437120,{'place_id': 'e564d30dc173d2a8'}
923324863598727168,{'place_id': '810e12ec4af983de'}
923324855562522624,{'place_id': '10a589c27fc19a4c'}
923324803003625472,{'place_id': '25293a36a62a2233'}
923324789988708352,{'place_id': '65246f89990cd015'}
923324746745425921,{'place_id': '59efa64f5c8f5340'}
923324736574279680,{'place_id': '65246f89990cd015'}
923324592038596608,{'place_id': '25293a36a62a2233'}
923324558983225344,{'place_id': 'e564d30dc173d2a8'}
923324556756086785,{'place_id': '65246f89990cd015'}
923324546136059906,{'place_id': '9d7cae88ff6a29f5'}
923324499314999297,{'place_id': '25293a36a62a2233'}
923324477907271681,{'place_id': '0e428116fe291283'}
923324459653718016,{'place_id': '8b9ec16fdc0d7e55'}
923324409582161921,{'place_id': '0e428116fe291283'}
923324404611846144,{'place_id': '9e901522888f8e99'}
923324371191640064,{'place_id': '10a589c27fc19a4c'}
