,tweet_id,author_followers,text,created_at,retweets,replies,likes,quote_count,place_id,place_name,mentioned_users,hashtags,emojis,urls,cleaned_text,geometry,grievances,triggers,tactics,actors,locations,weapons,eventualities,curiosities,non_protests,Subjectivity,Polarity,Analysis
0,923322201125916672,1072,Idk if these niggas are singing struggle songs coz they’re drunk or coz of fees must fall..either way I’m soo over res life I wanna leave😭 https://t.co/qpVLylJ8nK,2017-10-25 22:55:41+00:00,0,0,0,0,{'place_id': 'e564d30dc173d2a8'},"Johannesburg, South Africa",,,['😭'],https://t.co/qpVLylJ8nK,idk nigga sing struggle song coz they’re drunk coz fee must fall..either way i’m soo res life wanna leave,POINT (27.968098050000002 -26.276138500000002),,,['Gathering'],,,,,,,1.0,-0.5,Negative
1,923320610373107712,3938,"@Pali_Matli So nawe stop associating Wits with UFS,because you also don't know our struggle too, and you shouldn't have commented from the get off",2017-10-25 22:49:22+00:00,0,0,0,0,{'place_id': '810e12ec4af983de'},"Bloemfontein, South Africa",['@Pali_Matli'],,,,"nawe stop associate wit ufs,because also know struggle comment get",POINT (26.213109600000003 -29.10658805),,,,,,,,,,0.0,0.0,Neutral
2,923287512633798656,60433,Please RT for Awareness.This kid deserves free education at any intuition in the country! https://t.co/hZIINGNjUb,2017-10-25 20:37:51+00:00,0,0,1,0,{'place_id': 'd3d46bdc072ad347'},"Vryburg, South Africa",,,,https://t.co/hZIINGNjUb,please rt awareness.this kid deserve free education intuition country,POINT (24.7134466 -26.947960549999994),['Internat Solidarity'],,,,,,,,,0.8,0.5,Positive
3,923282795048460288,2322,No vision for what or where the institution is going. Struggle to locate the pulse. UCT is stagnant and risks irrelevance if continued. https://t.co/McMlhS2rJv,2017-10-25 20:19:06+00:00,0,1,1,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",,,,https://t.co/McMlhS2rJv,vision institution go struggle locate pulse uct stagnant risk irrelevance continue,POINT (18.4241 -33.9249),,,,['Political Party'],,,,,,0.0,0.0,Neutral
4,923243015740837893,797731,UCT students have disrupted some classes on the institution's main campus - demanding the release of the commission report on free education,2017-10-25 17:41:02+00:00,1,0,3,0,{'place_id': 'e564d30dc173d2a8'},"Johannesburg, South Africa",,,,,uct student disrupt class institution's main campus demand release commission report free education,POINT (27.968098050000002 -26.276138500000002),,['Arrests'],['Disrupt'],,"['Informal area', 'Tertiary Edu']",,,,,0.5666666666666667,0.2833333333333333,Positive
5,923237910412963840,970,"Text presents economic research, suggests solutions &amp; tangible models for free education. @SizweMpofuWalsh  @AllTheFas #DemocracyandDelusion",2017-10-25 17:20:45+00:00,0,0,0,0,{'place_id': 'e564d30dc173d2a8'},"Johannesburg, South Africa","['@SizweMpofuWalsh', '@AllTheFas']",['#DemocracyandDelusion'],,,text present economic research suggest solution amp tangible model free education,POINT (27.968098050000002 -26.276138500000002),,,,,,,,,,0.5,0.30000000000000004,Positive
6,923210193755762688,8372,"@News24 Captured Minister(s) keep on deeming it necessary to fund non-perfoming State-Owned Enterprises (SOEs), but reluctant to fund free education",2017-10-25 15:30:37+00:00,3,0,2,0,{'place_id': 'ace5f33acd47c646'},"Zebediela, South Africa",['@News24'],,,,capture minister(s keep deem necessary fund non-perfoming state-owned enterprise soes reluctant fund free education,POINT (29.273209950000002 -24.32029685),,,,,,,,,,0.9,0.2,Positive
7,923197048073150469,4043,"#FeesMustFall “we came too late, we missed the speech.” - student at march too parliament. @TeamNews24",2017-10-25 14:38:23+00:00,0,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#FeesMustFall'],,,“we come late miss speech.” student march parliament,POINT (18.4241 -33.9249),['Education'],,['March'],,['Tertiary Edu'],,,,,0.6,-0.3,Negative
8,923190497040064512,1053,"No no no, do not blame fmf for this. UCT was notified before the time that there would be a shutdown so it’s up to them. https://t.co/RW1GHrum8e",2017-10-25 14:12:21+00:00,0,1,2,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",,,,https://t.co/RW1GHrum8e,blame fmf uct notified time would shutdown it’s,POINT (18.4241 -33.9249),,,,,,,,,,0.0,0.0,Neutral
9,923188580062777344,2061,"If you want free education, campaign for a government capable of delivering a highly performing economy that generates the necessary revenue https://t.co/kfkrzESLrH",2017-10-25 14:04:44+00:00,1,0,3,0,{'place_id': 'e564d30dc173d2a8'},"Johannesburg, South Africa",,,,https://t.co/kfkrzESLrH,want free education campaign government capable deliver highly perform economy generate necessary revenue,POINT (27.968098050000002 -26.276138500000002),['National govt'],,,,['Informal area'],,,,['Election campaigns'],0.685,0.19000000000000003,Positive
10,923161249092907008,4043,"@TeamNews24 The #UCTshutdown and #cputshutdown march to parliament has been canceled over safety concerns. 

https://t.co/6gRGJqoZr5",2017-10-25 12:16:07+00:00,0,1,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],"['#UCTshutdown', '#cputshutdown']",,https://t.co/6gRGJqoZr5,"march parliament cancel safety concern 

",POINT (18.4241 -33.9249),,['Working conditions'],['March'],['Political Party'],,,,,,0.0,0.0,Neutral
11,923152157163098112,43,Protesters seem to have forgotten they decided to march on parliament today #UCT #FeesMustFall #UCTshutdown https://t.co/bRKV9VeyBe,2017-10-25 11:40:00+00:00,1,2,1,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",,"['#UCT', '#FeesMustFall', '#UCTshutdown']",,https://t.co/bRKV9VeyBe,protester seem forgotten decide march parliament today,POINT (18.4241 -33.9249),,,['March'],,,,,,,0.0,0.0,Neutral
12,923150756403871744,1241,"@siya_nerdychap Yeah no I get that, because on the other hand radical disruption forces engagement. As a student struggle, student interests are a gray area",2017-10-25 11:34:26+00:00,1,1,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@siya_nerdychap'],,,,yeah get hand radical disruption force engagement student struggle student interest gray area,POINT (18.4241 -33.9249),,,['Disrupt'],,['Tertiary Edu'],,,,,0.375,-0.125,Negative
13,923148482994688000,11569,All the tertiary students are waiting for is to hear about how free education is going to be funded. Nothing else Minister Malusi Gigaba! https://t.co/HEjJtdyT87,2017-10-25 11:25:24+00:00,5,1,11,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",,,,https://t.co/HEjJtdyT87,tertiary student wait hear free education go funded nothing else minister malusi gigaba,POINT (18.4241 -33.9249),,,,,['Tertiary Edu'],,,,,0.8,0.5,Positive
