,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8221,7522978,710,SAF9343,9343,2017-10-25,2017,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,GroundUp,National,A few hundred Fees Must Fall protesters attempted to shut down the University of Cape Town (UCT).,0,1611019297,ZAF
8312,7521459,710,SAF9250,9250,2017-09-19,2017,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,Cape Argus,Subnational,A group of #FeesMustFall students has stormed into the University of Cape Town library and disrupted classes and study sessions.,0,1611019292,ZAF
8617,7522998,710,SAF8949,8949,2017-06-19,2017,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Bellville,-33.9,18.6333,1,GroundUp,National,A team made up of UWC students acting under the name of the #FeesMustFall (FMF) movement disrupted exams in both the morning and afternoon sessions in protest.,0,1611019297,ZAF
9021,8009234,710,SAF8556,8556,2017-02-24,2017,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,IOL,National,Students marched to protest for the #feesmustfall leader who has been in prison for 150 days.,0,1622068027,ZAF
9131,8009248,710,SAF8449,8449,2017-01-19,2017,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,News24 (South Africa),National,There was a small contingent of supporters for Fees Must Fall student Bonginkosi Khanyile ahead of his pre-trial conference at Durban Magistrate's Court.,0,1622068027,ZAF
9212,7521426,710,SAF8371,8371,2016-11-24,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Wynberg,-33.9833,18.4,1,Cape Argus,Subnational,The hostel superintendent at the centre of allegations of racial abuse at Wynberg Girls' High School has been put on special leave as pupils staged a protest at the school's Waterloo boarding house. The protest was attended by members of #FeesMustFall,0,1611019292,ZAF
9221,5741412,710,SAF8360,8360,2016-11-21,2016,1,Protests,Protest with intervention,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Soshanguve,-25.4729,28.0992,1,African News Agency,National,16 people at its Soshanguve campus of UT were arrested for allegedly contravening the institution's court order in what appears to be protest action.,0,1567462123,ZAF
9226,5300415,710,SAF8356,8356,2016-11-20,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Soshanguve,-25.4729,28.0992,1,Times (South Africa),National,#FeesMustFall students burned a university bus outside the Soshanguve campus.,0,1561469250,ZAF
9242,6064799,710,SAF8339,8339,2016-11-14,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,Cape Times,Subnational,Police confirmed a petrol bomb was thrown at a mail room adjacent to Keizersgracht Street at the Cape Town campus in ongoing student protests.,0,1571164555,ZAF
9261,7518833,710,SAF8320,8320,2016-11-07,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),Private Security Forces (South Africa),1,15,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Bellville,-33.9,18.6333,1,GroundUp; Daily Vox (South Africa),National,Exams began at the UWC campus but protesting students unhappy with management's decision to go ahead without first meeting their demands led to unrest at the University in Bellville. Protesters clashed with police after they tried to stop students from boarding buses to take them to off-campus exam centres.,0,1611019285,ZAF
