,text,Date,geometry,author_followers,retweets,replies,likes,quote_count,Subjectivity,Polarity,Analysis
1,@unisa the 3rd January registration is it for new students who want to study but couldn't ? Let's say iam I was doing matric?,2017-12-31,POINT (30.64531945 -29.81931455),1100,0,0,0,0,0.7,0.0,Neutral
3,Report to universities for your free education‚ Malema encourages the poor https://t.co/1qapFgwP0H via @TimesLIVE,2017-12-31,POINT (27.968098050000002 -26.276138500000002),2059,0,0,0,0,0.32727272727272727,0.16818181818181818,Positive
4,"Question phrased wrong, “which university did you attend?”

* “which institution did you study at?” Colleges are also part of higher education.
#DateMyFamily",2017-12-31,POINT (18.595652049999998 -34.067997950000006),4882,1,1,11,0,0.65,-0.171875,Negative
5,UCT really sending us emails about fees on new years eve 😂.,2017-12-31,POINT (31.17284725 -29.584473850000006),1151,0,0,5,0,0.48750000000000004,0.03333333333333335,Positive
6,"@MargieOrford Somehow, however difficult 2017 has been, it’s been a year of agency &amp; activism. We can only build on the little gains achieved in student fees, political agitation &amp; imminent changes. I see 2018 as the year of the fall of the dictator!",2017-12-31,POINT (30.3411427 -30.88849915),2819,2,0,6,0,0.41111111111111115,-0.17777777777777778,Negative
8,"Not to mention how “free education” will be the most expensive thing to happen to SA tertiary education. It’ll incentivize wasteful expenditure among universities, and won’t do much to improve quality in the poorer institutions.

Those same first-years will be worse off🙄 https://t.co/Ny3DpHPybg",2017-12-31,POINT (18.4961166 -33.8234111),35436,6,8,9,0,0.4,0.2,Positive
9,"Everything was just a constant struggle, and afterwards you're just subtly excluded by some of your friends even. My friends suspensions and court cases by the University. Messy relationships, and craping by academically.",2017-12-31,POINT (25.5553161 -33.90756195),2601,0,1,2,0,0.44484126984126987,0.23650793650793647,Positive
10,"In April i deregistered from Stellenbosch University, it was difficult but it needed to be done. Stellenbosch wasn't a good place for me mentally esp in Res and the classrooms because of my involvement is Fees Must Fall and Student Politics.",2017-12-31,POINT (25.5553161 -33.90756195),2601,0,2,5,1,0.5208333333333333,0.05416666666666667,Positive
11,Zuma says free education if the students pass their matric they must go to university next year https://t.co/R0Pk3C5yGb,2017-12-31,POINT (27.875271750000007 -26.2564214),2210,1,0,2,0,0.6333333333333333,-0.20000000000000004,Negative
12,"@SheConquersSA Start sexual education at an early age, teens are inquisitive and if they’re taught early they will know the right time of having sex. I’m old school, anyone pregnant must not go to school that includes the boy father",2017-12-31,POINT (18.4241 -33.9249),1267,1,1,3,0,0.0,0.0,Neutral
14,"When I started using pen in my primary school, and I made a mistake, I would try hard to erase it before submitting to my teacher.......",2017-12-31,POINT (28.184066 -25.75260515),10673,4,1,3,0,0.1,-0.1,Negative
15,@Unathi_Kwaza What are they going to do with all the matriculants that occupy the universities and all the people they call on to occupy the land If they’re in power in 2019 are they going call on everyone to unoccupy everything because their policies bring instant relief? creating false hope?,2017-12-31,POINT (27.8575825 -33.02201395),292,0,0,0,0,0.4857142857142857,0.30714285714285716,Positive
16,"on the road...
-
-
#NewJob #moving #academia #PhDlife #PhDchat #lecturer #roadtrip #UCT",2017-12-31,POINT (18.4241 -33.9249),1139,0,2,1,0,0.5399999999999999,0.16,Positive
17,Report to universities for your free education‚ Malema encourages the poor https://t.co/T3gtP5p2dL via @Julius_S_Malema no brain cells,2017-12-31,POINT (27.875271750000007 -26.2564214),694,0,0,0,0,0.0,0.0,Neutral
18,United being Arsenal that spent St Stithians school fees,2017-12-30,POINT (28.10355085 -25.9884044),13263,0,1,1,1,0.4266666666666666,0.11666666666666665,Positive
19,@ItIsSeRomeo @maggsnaidu @Julius_S_Malema My question was more on people being called to go to universities even though they have not applied for 2018 admission. Akere we still have to apply and be admitted as spaces are limited then we can enjoy free education,2017-12-30,POINT (27.968098050000002 -26.276138500000002),1349,1,3,11,0,0.0,0.0,Neutral
20,You're so used 2 a 40%pass mark in high school but youll get 2 varsity where its 50%... How is the Department of Education helping children?,2017-12-30,POINT (30.7006305 -23.0120121),802,0,0,0,0,0.7,0.0,Neutral
21,"Before you spend all your money this festive season, don't forget about school fees because your home can be attached if you default: https://t.co/7bhUXaKoTY",2017-12-30,POINT (28.1799355 -26.228828550000003),4868,0,0,1,0,0.0,0.0,Neutral
22,"@shabash That's true. But with that said, just one scholarship, whether it's the NRF or something else is not enough for Ph.D. or Masters for that matter. Some supervisors are very human and will pay for the student's fees so that the student's scholarship money all goes to the student.",2017-12-30,POINT (18.4241 -33.9249),14636,0,1,0,0,0.375,-0.140625,Negative
23,Chowed my school fees https://t.co/E7bA24rUKJ,2017-12-30,POINT (27.41591825 -24.582006149999998),1320,0,0,0,0,0.3905555555555556,-0.1301388888888889,Negative
24,Report to universities for your free education‚ Malema encourages the poor https://t.co/pnMWG724qO via @TimesLIVE,2017-12-30,POINT (26.213109600000003 -29.10658805),325,0,0,0,0,0.72,0.28,Positive
25,@NdabaShandu Here is a link of what malema said...https://t.co/D0gWhPWeGi,2017-12-30,POINT (18.595652049999998 -34.067997950000006),2380,1,1,1,0,0.625,-0.003333333333333318,Negative
26,"I never understand going after the other woman.... Deal with your man honey, burn his things, cut his member but leave the other woman alone! https://t.co/1uhoGJ7HMh",2017-12-30,POINT (30.827055750000003 -29.77067315),2268,0,1,2,1,1.0,0.675,Positive
27,"@sure_kamhunga Classic dumbing down of basic education requirements favours only useless teachers and destroys the future of students. Until teachers are held accountable for student results, we as a country are doomed to fail. I believe there are no dumb children only useless educators.",2017-12-30,POINT (18.407350299999997 -34.1319587),2085,1,2,8,2,0.65,0.45,Positive
31,"This is why...
1. Our education system is in disarray. 
2. Some pupils don't even qualify to go to tertiary. 
3. Some students end up dropping out or getting academically excluded, because the transition from 30% in high school to the 50% required pass mark in uni is quite huge. https://t.co/bw0qm4mhyR",2017-12-30,POINT (27.875271750000007 -26.2564214),69,0,0,1,0,0.06666666666666667,0.0,Neutral
32,Do other universities charge very exuberant amounts of money for tuition and accommodation or Nelson Mandela University is generally affordable.,2017-12-30,POINT (29.49411315 -31.07706465),523,0,0,0,0,0.0,0.0,Neutral
33,"Bruhhh there was this beautiful and playful baby at the event, she was so adorable. For a minute I wished she was mine then I remembered school fees and all that finance stuff so I decided I’ll just continue to play with people’s children",2017-12-30,POINT (18.4241 -33.9249),1396,0,2,0,0,0.0,0.0,Neutral
35,Top court confirms Free State University’s English-only language policy https://t.co/4q8RpKrwnJ via @BDliveSA,2017-12-29,POINT (26.213109600000003 -29.10658805),325,0,0,0,0,0.35714285714285715,0.0,Neutral
